datum,bundesland_id,bundesland_name,behandlungsgruppe,behandlungsgruppe_level_2,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_erstaufnahmen,intensivbetten_belegt,intensivbetten_frei,intensivbetten_7_tage_notfallreserve,kapazitaeten_frei_invasive_beatmung_gesamt,kapazitaeten_frei_invasive_beatmung_covid,kapazitaeten_frei_invasive_beatmung_isolationspflichtige_kinder,betriebssituation_regulaerer_betrieb,betriebssituation_teilweise_eingeschraenkt,betriebssituation_eingeschraenkt,betriebssituation_keine_angabe,einschraenkung_beatmungsgeraet,einschraenkung_material,einschraenkung_personal,einschraenkung_raum
2020-04-17,00,Deutschland,Erwachsene,ERWACHSENE,1205,2879,NA,16834,11450,NA,8032,NA,NA,861,113,90,141,41,29,128,55
2020-04-17,00,Deutschland,Kinder,NICU,11,1,NA,119,57,NA,29,NA,NA,10,0,0,1,NA,NA,NA,NA
2020-04-17,00,Deutschland,Kinder,PICU,22,3,NA,139,125,NA,78,NA,NA,15,1,1,5,0,0,2,1
2020-04-18,00,Deutschland,Erwachsene,ERWACHSENE,1249,2928,NA,17309,11601,NA,8242,NA,NA,878,116,86,169,36,30,139,48
2020-04-18,00,Deutschland,Kinder,NICU,12,2,NA,121,67,NA,38,NA,NA,11,0,0,1,NA,NA,NA,NA
2020-04-18,00,Deutschland,Kinder,PICU,24,3,NA,136,136,NA,85,NA,NA,16,2,1,5,0,0,3,2
2020-04-19,00,Deutschland,Erwachsene,ERWACHSENE,1252,2870,NA,16929,12027,NA,8456,NA,NA,897,108,86,161,38,30,132,51
2020-04-19,00,Deutschland,Kinder,NICU,12,2,NA,124,64,NA,38,NA,NA,10,0,0,2,NA,NA,NA,NA
2020-04-19,00,Deutschland,Kinder,PICU,24,3,NA,131,140,NA,89,NA,NA,16,1,1,6,0,0,2,2
2020-04-20,00,Deutschland,Erwachsene,ERWACHSENE,1268,2900,NA,17241,11989,NA,8434,NA,NA,914,114,90,150,37,30,132,57
